Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,3,14,32768,40.72,3.86,71.96,1000
Broadcast,3,14,65536,68.74,6.30,121.23,1000
Broadcast,3,14,131072,130.05,12.98,227.21,1000
Broadcast,3,14,262144,261.73,29.47,455.44,1000
Broadcast,3,14,524288,530.12,62.45,921.39,1000
Broadcast,3,14,1048576,1058.75,127.18,1837.01,1000
Broadcast,5,14,1,1.25,0.35,2.03,1000
Broadcast,5,14,2,1.24,0.36,2.02,1000
Broadcast,5,14,4,1.28,0.35,2.09,1000
Broadcast,5,14,8,1.27,0.35,2.02,1000
Broadcast,5,14,16,1.27,0.36,2.07,1000
Broadcast,5,14,32,1.45,0.37,2.23,1000
Broadcast,5,14,64,1.44,0.38,2.31,1000
Broadcast,5,14,128,1.92,0.51,3.00,1000
Broadcast,5,14,256,1.97,0.49,3.08,1000
Broadcast,5,14,512,2.07,0.52,3.17,1000
Broadcast,5,14,1024,2.39,0.55,3.55,1000
Broadcast,5,14,2048,3.53,0.64,4.99,1000
Broadcast,5,14,4096,5.55,0.80,7.74,1000
Broadcast,5,14,8192,8.34,0.98,11.86,1000
Broadcast,5,14,16384,17.70,5.70,21.08,1000
Broadcast,5,14,32768,30.91,10.03,36.35,1000
Broadcast,5,14,65536,56.27,18.22,66.58,1000
Broadcast,5,14,131072,107.32,33.88,126.96,1000
Broadcast,5,14,262144,210.25,61.29,252.54,1000
Broadcast,5,14,524288,410.53,108.08,501.61,1000
Broadcast,5,14,1048576,787.95,200.58,962.53,1000
Broadcast,1,18,1,1.92,0.41,2.59,1000
Broadcast,1,18,2,1.95,0.47,2.69,1000
Broadcast,1,18,4,1.91,0.39,2.58,1000
Broadcast,1,18,8,1.90,0.38,2.57,1000
Broadcast,1,18,16,1.91,0.38,2.59,1000
Broadcast,1,18,32,2.09,0.43,2.84,1000
Broadcast,1,18,64,2.12,0.48,2.84,1000
Broadcast,1,18,128,3.60,0.54,6.00,1000
Broadcast,1,18,256,3.65,0.57,6.12,1000
Broadcast,1,18,512,3.73,0.52,6.29,1000
Broadcast,1,18,1024,4.61,0.66,7.77,1000
Broadcast,1,18,2048,6.32,0.86,11.41,1000
Broadcast,1,18,4096,8.95,1.00,16.51,1000
Broadcast,1,18,8192,13.14,1.11,24.82,1000
Broadcast,1,18,16384,12.87,3.99,17.70,1000
Broadcast,1,18,32768,22.41,5.98,28.97,1000
Broadcast,1,18,65536,51.31,22.43,59.49,1000
Broadcast,1,18,131072,118.27,90.07,127.21,1000
Broadcast,1,18,262144,270.08,241.98,280.24,1000
Broadcast,1,18,524288,564.89,528.55,582.75,1000
Broadcast,1,18,1048576,1060.27,885.01,1105.96,1000
Broadcast,2,18,1,1.82,0.47,2.46,1000
Broadcast,2,18,2,1.84,0.45,2.52,1000
Broadcast,2,18,4,1.82,0.45,2.47,1000
Broadcast,2,18,8,1.82,0.46,2.47,1000
Broadcast,2,18,16,1.80,0.45,2.44,1000
Broadcast,2,18,32,2.02,0.57,2.68,1000
Broadcast,2,18,64,2.04,0.58,2.69,1000
Broadcast,2,18,128,2.69,0.67,3.54,1000
Broadcast,2,18,256,2.73,0.66,3.59,1000
Broadcast,2,18,512,2.83,0.69,3.78,1000
Broadcast,2,18,1024,3.11,0.68,4.18,1000
Broadcast,2,18,2048,3.86,0.75,5.45,1000
Broadcast,2,18,4096,5.19,0.88,7.68,1000
Broadcast,2,18,8192,8.17,1.15,12.73,1000
Broadcast,2,18,16384,16.79,6.45,21.31,1000
Broadcast,2,18,32768,30.00,11.27,37.42,1000
Broadcast,2,18,65536,55.35,24.11,66.13,1000
Broadcast,2,18,131072,107.50,47.45,130.52,1000
Broadcast,2,18,262144,202.42,95.21,251.19,1000
Broadcast,2,18,524288,435.36,217.50,544.45,1000
Broadcast,2,18,1048576,864.38,427.95,1101.02,1000
Broadcast,3,18,1,3.29,0.23,5.40,1000
Broadcast,3,18,2,3.29,0.23,5.41,1000
Broadcast,3,18,4,3.32,0.23,5.45,1000
Broadcast,3,18,8,3.26,0.23,5.35,1000
Broadcast,3,18,16,3.33,0.23,5.47,1000
Broadcast,3,18,32,3.72,0.25,6.19,1000
Broadcast,3,18,64,3.81,0.25,6.31,1000
Broadcast,3,18,128,4.11,0.30,6.73,1000
Broadcast,3,18,256,4.16,0.29,6.83,1000
Broadcast,3,18,512,4.37,0.31,7.30,1000
Broadcast,3,18,1024,5.09,0.30,8.97,1000
Broadcast,3,18,2048,6.11,0.34,10.83,1000
Broadcast,3,18,4096,7.59,0.38,13.83,1000
Broadcast,3,18,8192,10.67,0.45,19.99,1000
Broadcast,3,18,16384,34.90,2.64,62.69,1000
Broadcast,3,18,32768,52.64,3.74,95.04,1000
Broadcast,3,18,65536,88.53,6.27,160.22,1000
Broadcast,3,18,131072,167.62,13.42,301.05,1000
Broadcast,3,18,262144,334.76,29.40,599.34,1000
Broadcast,3,18,524288,678.94,62.75,1210.98,1000
