Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Reduce,4,12,8192,9.30,8.32,10.22,1000
Reduce,4,12,16384,13.71,12.16,14.96,1000
Reduce,4,12,32768,23.80,20.74,25.86,1000
Reduce,4,12,65536,40.57,35.15,43.66,1000
Reduce,4,12,131072,75.18,65.56,80.68,1000
Reduce,4,12,262144,192.56,166.19,206.15,1000
Reduce,4,12,524288,641.77,554.31,685.90,1000
Reduce,4,12,1048576,1468.11,1296.85,1554.07,1000
Reduce,1,14,4,3.34,2.61,4.33,1000
Reduce,1,14,8,3.26,2.49,4.38,1000
Reduce,1,14,16,3.07,2.32,4.06,1000
Reduce,1,14,32,3.18,2.53,4.06,1000
Reduce,1,14,64,2.87,2.32,3.60,1000
Reduce,1,14,128,3.43,2.80,4.22,1000
Reduce,1,14,256,3.22,2.62,4.02,1000
Reduce,1,14,512,3.24,2.91,4.10,1000
Reduce,1,14,1024,3.80,3.52,4.66,1000
Reduce,1,14,2048,5.32,4.98,6.30,1000
Reduce,1,14,4096,8.86,8.54,9.96,1000
Reduce,1,14,8192,9.39,8.88,10.17,1000
Reduce,1,14,16384,15.58,14.53,16.38,1000
Reduce,1,14,32768,28.63,26.44,29.96,1000
Reduce,1,14,65536,49.40,46.85,51.33,1000
Reduce,1,14,131072,94.35,91.69,97.02,1000
Reduce,1,14,262144,255.89,235.62,261.65,1000
Reduce,1,14,524288,807.61,700.98,832.46,1000
Reduce,1,14,1048576,1778.56,1556.39,1833.56,1000
Reduce,2,14,4,3.19,2.54,4.24,1000
Reduce,2,14,8,3.07,2.53,3.80,1000
Reduce,2,14,16,2.83,2.38,3.50,1000
Reduce,2,14,32,2.96,2.44,3.70,1000
Reduce,2,14,64,2.78,2.32,3.56,1000
Reduce,2,14,128,3.33,2.94,4.03,1000
Reduce,2,14,256,3.13,2.73,3.87,1000
Reduce,2,14,512,3.30,2.98,4.12,1000
Reduce,2,14,1024,3.78,3.45,4.64,1000
Reduce,2,14,2048,5.27,4.95,6.25,1000
Reduce,2,14,4096,8.86,8.47,9.92,1000
Reduce,2,14,8192,9.14,8.67,9.91,1000
Reduce,2,14,16384,15.23,14.20,16.05,1000
Reduce,2,14,32768,26.76,24.93,28.19,1000
Reduce,2,14,65536,50.29,47.29,52.02,1000
Reduce,2,14,131072,93.67,90.60,95.93,1000
Reduce,2,14,262144,254.08,233.73,259.81,1000
Reduce,2,14,524288,802.56,693.30,829.11,1000
Reduce,2,14,1048576,1774.23,1550.88,1828.80,1000
Reduce,3,14,4,2.48,1.87,3.50,1000
Reduce,3,14,8,2.49,1.90,3.35,1000
Reduce,3,14,16,2.46,1.87,3.35,1000
Reduce,3,14,32,2.73,2.20,3.65,1000
Reduce,3,14,64,2.53,2.03,3.40,1000
Reduce,3,14,128,3.17,2.66,4.02,1000
Reduce,3,14,256,2.98,2.51,3.89,1000
Reduce,3,14,512,3.24,2.88,4.05,1000
Reduce,3,14,1024,3.79,3.48,4.66,1000
Reduce,3,14,2048,5.38,4.95,6.31,1000
Reduce,3,14,4096,8.67,8.27,9.83,1000
Reduce,3,14,8192,9.31,8.82,10.09,1000
Reduce,3,14,16384,15.45,14.44,16.19,1000
Reduce,3,14,32768,27.45,25.47,28.47,1000
Reduce,3,14,65536,48.80,46.17,50.91,1000
Reduce,3,14,131072,99.12,95.70,101.68,1000
Reduce,3,14,262144,256.09,235.44,261.97,1000
Reduce,3,14,524288,803.66,697.83,829.73,1000
Reduce,3,14,1048576,1762.26,1537.87,1814.51,1000
Reduce,4,14,4,3.24,2.56,4.27,1000
Reduce,4,14,8,3.18,2.53,4.20,1000
