ntasks,global_data_size,parallel_time,serial_time
108,10000000,0.156202,2.040160
108,10000000,0.179681,2.064662
110,10000000,0.156539,2.044843
110,10000000,0.156244,2.033126
110,10000000,0.157617,2.102409
110,10000000,0.156486,2.122485
110,10000000,0.157289,2.127364
110,10000000,0.158502,2.041074
110,10000000,0.155878,2.037391
110,10000000,0.156318,2.041115
110,10000000,0.156347,2.035753
110,10000000,0.156048,2.042328
112,10000000,0.159172,2.064165
112,10000000,0.156616,2.090350
112,10000000,0.158296,2.059471
112,10000000,0.159250,2.041524
112,10000000,0.156510,2.030926
112,10000000,0.158024,2.041964
112,10000000,0.162568,2.038716
112,10000000,0.157385,2.083118
112,10000000,0.157819,2.108563
112,10000000,0.162002,2.037988
114,10000000,0.155761,2.048429
114,10000000,0.158626,2.048989
114,10000000,0.158123,2.040520
114,10000000,0.158207,2.087691
114,10000000,0.156474,2.043530
114,10000000,0.157147,2.039076
114,10000000,0.156775,2.065370
114,10000000,0.158391,2.040402
114,10000000,0.158638,2.039291
114,10000000,0.157518,2.074843
116,10000000,0.158278,2.035648
116,10000000,0.158838,2.034491
116,10000000,0.156476,2.077659
116,10000000,0.156499,2.041743
116,10000000,0.157748,2.039694
116,10000000,0.157575,2.048936
116,10000000,0.158473,2.069338
116,10000000,0.156769,2.036402
116,10000000,0.157092,2.039216
116,10000000,0.163170,2.063588
118,10000000,0.158062,2.237949
118,10000000,0.157573,2.040028
118,10000000,0.156384,2.038427
118,10000000,0.159986,2.098402
118,10000000,0.158489,2.039224
118,10000000,0.156622,2.040395
118,10000000,0.157758,2.041794
118,10000000,0.158894,2.112313
118,10000000,0.158125,2.036620
118,10000000,0.157281,2.038980
120,10000000,0.158717,2.039547
120,10000000,0.158192,2.141033
120,10000000,0.161144,2.068667
120,10000000,0.159631,2.034629
120,10000000,0.158292,2.042262
120,10000000,0.160564,2.053604
120,10000000,0.160402,2.054030
120,10000000,0.158251,2.038327
120,10000000,0.172356,2.109458
120,10000000,0.159295,2.037767
122,10000000,0.159102,2.041595
122,10000000,0.158827,2.036756
122,10000000,0.158274,2.037952
122,10000000,0.159373,2.037350
122,10000000,0.159701,2.036514
122,10000000,0.157252,2.038000
